2018-08-15,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.04,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.103,0.081,0.061,-0.022,0.118,0.032,-0.0,0.0,-0.157,0.0,0.0,0.032,0.005,-0.0,-0.0,0.025,0.0,0.046,0.0,0.022,0.085,0.009,0.0,0.0,-0.01,-0.008,0.03,-0.139,0.008,-0.0,-0.003,0.0,0.065,0.024,0.0,-0.022,-0.0,0.057,0.044,-0.0,-0.0,0.108,0.113,0.0,0.009,0.0,-0.046,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.036,-0.0,0.0,-0.0,-0.0,-0.019,0.0,0.044,0.031,-0.017,-0.0,0.0,-0.0,-0.013,0.057,0.0,0.0,-0.002,0.0,0.094,0.113,0.0,0.01,0.0,-0.052,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.027,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.021,0.0,0.014,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.067,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.006,0.0,-0.005,0.0,0.0,-0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,-0.008,0.0,0.0,-0.0,-0.0,0.045,-0.033,-0.051,0.0,-0.0,-0.0,0.057,0.018,0.069,0.0,0.109,0.021,0.0,0.0,0.035,0.036,0.022,-0.0,0.0,0.05,0.01,0.032,0.025,-0.003,0.026,0.0,0.0,-0.0,0.014,0.0,-0.0,0.0,0.0,-0.0,-0.105,0.096,0.0,196.69
2018-08-16,0.0,0.0,0.195,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.042,-0.035,-0.0,-0.0,0.0,0.0,-0.025,0.0,0.0,-0.0,0.049,0.0,0.0,0.0,-0.001,0.014,-0.028,-0.006,0.0,0.0,0.0,0.0,0.0,-0.0,0.054,0.021,-0.0,0.067,0.0,0.0,-0.0,0.0,0.0,-0.0,0.025,-0.0,0.0,0.119,0.0,0.0,-0.0,-0.0,0.0,0.037,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.172,0.0,-0.0,0.0,0.0,0.0,0.0,0.059,-0.001,-0.01,0.0,0.0,-0.0,-0.0,0.0,0.104,0.065,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.088,0.0,0.0,0.0,-0.011,0.034,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.046,-0.0,0.0,-0.0,-0.003,-0.0,0.011,-0.0,-0.0,-0.038,0.0,0.0,0.012,-0.016,-0.019,0.075,-0.0,0.0,0.0,0.041,-0.001,-0.0,0.052,0.091,0.0,-0.0,-0.0,0.0,-0.0,0.008,0.035,-0.0,0.01,-0.003,-0.0,0.055,0.004,0.041,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.033,0.0,-0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.009,-0.0,0.0,0.041,0.0,-0.008,0.054,-0.0,0.0,0.013,0.0,0.035,0.006,-0.0,-0.0,0.0,0.0,0.091,0.0,-0.0,0.087,0.0,0.0,-0.0,0.048,-0.011,0.0,0.003,-0.0,0.056,-0.001,-0.0,-0.01,-0.0,0.0,0.0,0.048,0.0,0.004,-0.079,0.0,-0.01,0.041,0.0,0.053,-0.0,0.026,0.0,0.0,0.0,0.0,-0.0,-0.026,0.0,-0.027,-0.017,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.006,0.0,0.0,0.0,0.002,-0.0,-0.0,0.0,-0.0,-0.012,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,-0.0,0.0,0.0,-0.016,0.0,0.0,0.0,0.019,0.017,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.022,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.02,-0.0,0.0,0.0,-0.0,0.0,-0.0,197.991
2018-08-17,0.15,0.06,0.201,-0.0,0.0,-0.0,0.0,0.012,0.067,0.0,0.006,-0.0,0.0,0.057,-0.0,-0.0,-0.065,-0.023,0.0,-0.007,0.0,0.0,0.0,0.025,0.038,0.163,0.0,0.0,0.036,-0.023,0.0,0.074,0.0,0.02,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.096,0.0,0.0,-0.0,0.0,-0.234,-0.0,-0.0,0.064,0.0,0.0,0.0,0.0,-0.004,-0.029,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.02,-0.004,0.0,0.024,-0.012,-0.101,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.032,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.007,-0.016,0.0,0.063,0.015,-0.0,0.0,0.0,0.121,0.037,-0.01,-0.012,-0.015,0.0,0.0,0.075,0.04,0.0,0.0,0.0,0.0,0.0,-0.0,0.081,0.046,-0.004,-0.047,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.01,0.0,0.069,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.002,0.0,0.0,0.05,0.03,0.0,-0.0,-0.0,0.038,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.024,-0.074,0.0,-0.051,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.021,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.096,0.023,0.011,0.136,0.0,0.027,0.0,0.0,0.0,0.0,-0.0,-0.0,0.027,-0.0,0.0,0.021,0.037,0.0,0.113,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.107,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,0.0,0.175,0.0,0.046,0.0,0.0,-0.0,0.0,-0.021,200.051
2018-08-20,0.0,0.0,0.111,-0.0,-0.0,-0.068,0.021,0.0,0.0,-0.01,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.093,-0.0,0.0,-0.004,0.0,0.0,0.005,0.003,0.0,0.165,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.001,-0.0,0.044,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.048,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.078,-0.0,0.0,0.0,-0.0,0.069,-0.0,0.092,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.051,0.0,0.0,-0.0,0.0,-0.0,-0.025,-0.0,0.0,0.0,0.0,-0.136,-0.04,0.0,-0.0,0.0,0.0,0.0,0.0,0.008,0.079,-0.005,0.0,-0.0,-0.026,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.002,0.0,-0.0,-0.0,0.0,-0.051,-0.011,-0.0,0.047,-0.001,0.0,0.034,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.032,-0.0,0.0,-0.0,0.073,0.047,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.013,0.0,0.037,-0.0,-0.0,0.003,0.0,-0.07,-0.0,0.0,0.0,-0.0,0.04,0.012,0.0,0.0,0.0,0.0,0.001,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.026,0.0,-0.0,-0.029,0.033,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.049,-0.0,0.0,0.0,-0.032,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.008,0.016,-0.0,0.0,-0.0,-0.0,-0.0,0.083,-0.041,0.02,0.019,0.03,0.0,0.019,-0.0,-0.0,0.015,0.0,-0.0,0.113,-0.0,0.042,-0.0,0.0,-0.015,-0.015,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.031,-0.001,-0.0,0.064,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,-0.037,0.036,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.023,0.0,0.057,0.033,0.0,-0.0,0.022,-0.054,-0.04,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.003,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.136,0.0,0.022,-0.0,0.02,0.012,-0.004,0.0,-0.0,200.974
2018-08-21,0.13,0.0,0.135,-0.0,-0.0,-0.0,0.0,-0.007,0.049,-0.0,0.081,-0.0,0.051,0.0,-0.0,-0.0,-0.084,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.023,0.0,0.0,0.0,-0.0,0.0,-0.045,-0.0,0.133,0.0,0.0,-0.0,-0.024,-0.015,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.128,-0.0,-0.0,0.0,-0.073,-0.0,0.05,-0.046,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.064,0.0,0.0,-0.0,0.011,-0.018,-0.041,-0.107,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.051,0.154,0.0,0.0,-0.0,0.0,-0.0,-0.006,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.004,-0.039,0.0,0.028,-0.061,-0.0,0.052,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.023,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.052,0.0,-0.036,0.007,-0.0,0.0,0.0,0.08,-0.04,-0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.038,-0.0,-0.075,0.006,0.0,-0.0,-0.0,0.0,-0.019,-0.0,0.0,-0.015,0.062,0.0,0.0,0.0,0.004,-0.0,-0.003,0.0,0.0,0.03,-0.0,0.0,-0.0,0.0,0.128,0.0,-0.004,0.0,-0.0,-0.0,0.005,-0.0,0.026,-0.0,-0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.094,-0.026,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.006,-0.119,0.0,-0.0,0.0,-0.0,0.0,0.018,0.039,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.025,-0.0,0.0,-0.019,0.0,-0.0,-0.006,0.107,0.0,0.0,0.014,-0.0,0.0,-0.001,-0.0,-0.0,0.0,-0.002,0.0,-0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.007,-0.032,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.036,0.0,-0.0,-0.007,-0.0,-0.0,0.0,0.0,0.0,0.0,0.009,0.0,-0.041,-0.0,0.0,0.036,0.024,-0.007,-0.031,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.026,-0.0,-0.0,-0.0,0.059,-0.0,201.548
2018-08-22,0.0,-0.021,0.173,-0.029,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.011,0.0,0.0,-0.0,-0.038,-0.0,-0.0,-0.0,-0.018,-0.008,0.0,0.0,-0.043,0.0,0.0,0.0,-0.0,0.0,-0.048,-0.001,0.132,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.058,0.034,0.015,-0.0,0.0,-0.046,-0.045,0.0,-0.0,-0.0,0.0,-0.0,0.077,-0.032,-0.0,0.023,0.015,0.0,0.07,-0.0,0.084,0.118,0.0,0.0,0.027,-0.046,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.059,-0.0,0.088,0.0,-0.0,-0.125,0.0,0.0,-0.0,-0.015,0.0,0.087,0.0,-0.0,-0.011,-0.0,0.0,-0.035,0.0,0.0,0.0,0.0,-0.0,0.024,-0.021,-0.006,0.004,-0.0,-0.0,0.013,0.0,-0.085,-0.042,0.0,-0.0,0.0,-0.0,-0.033,-0.037,0.0,0.0,0.0,-0.0,-0.077,-0.0,0.0,0.0,0.024,-0.0,-0.0,0.102,-0.025,-0.0,0.026,-0.0,-0.0,-0.001,0.0,0.0,0.044,-0.012,-0.0,0.02,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.013,0.03,0.002,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.015,-0.0,-0.0,0.0,-0.027,-0.0,0.0,-0.044,0.0,0.107,0.063,0.0,-0.023,-0.0,-0.008,0.124,0.0,0.0,-0.037,0.0,-0.007,-0.001,0.0,0.116,0.018,-0.0,-0.0,-0.065,-0.015,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.039,0.0,0.0,0.002,0.057,0.014,-0.016,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.032,0.011,0.0,-0.012,-0.0,0.0,0.0,0.0,0.003,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.027,0.0,-0.0,-0.028,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.004,0.0,-0.012,-0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,202.088
2018-08-23,0.0,-0.0,0.075,-0.03,-0.0,-0.099,0.0,-0.0,0.013,-0.029,0.036,-0.0,0.0,0.0,-0.073,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.068,0.0,0.032,0.0,-0.0,0.0,-0.065,-0.012,0.0,-0.0,0.01,-0.066,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.005,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.006,-0.072,0.0,-0.0,-0.0,-0.002,-0.0,0.0,0.0,-0.076,0.0,0.092,0.014,0.0,0.0,-0.0,-0.0,-0.0,0.035,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.105,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.043,-0.0,-0.0,0.0,0.0,0.1,-0.0,0.0,-0.0,0.0,-0.099,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.224,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.084,0.0,-0.0,-0.052,0.0,-0.048,-0.0,-0.0,0.0,0.109,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.034,-0.0,0.0,-0.01,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.013,-0.0,-0.0,-0.013,-0.0,-0.0,-0.049,0.0,-0.0,-0.095,-0.01,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.002,0.009,-0.0,-0.0,-0.039,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.004,-0.0,0.067,-0.0,0.001,-0.0,0.0,0.0,0.0,0.0,-0.012,-0.0,-0.153,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.008,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.026,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.079,0.0,-0.0,-0.0,-0.052,-0.0,-0.0,0.0,-0.015,0.0,0.0,-0.013,0.0,0.0,-0.002,0.304,-0.02,0.0,-0.0,-0.04,0.0,0.018,-0.0,0.0,-0.0,-0.0,-0.0,-0.048,-0.0,-0.0,-0.01,-0.0,-0.103,-0.0,0.022,0.0,0.025,0.002,0.0,-0.007,-0.0,-0.0,-0.0,0.008,0.027,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.017,0.0,-0.0,0.016,0.0,-0.0,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,201.219
2018-08-24,-0.002,0.0,0.055,-0.0,-0.0,-0.0,0.0,-0.026,0.0,-0.0,0.0,-0.0,0.0,0.003,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.237,0.0,-0.062,0.0,0.0,0.041,-0.0,0.0,-0.065,-0.0,0.0,-0.0,0.006,-0.0,-0.0,-0.03,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.07,0.0,-0.0,-0.0,0.03,-0.0,-0.0,0.0,-0.0,0.0,-0.034,-0.0,-0.0,-0.017,-0.02,0.0,-0.0,0.059,0.0,0.0,0.0,0.0,-0.0,0.0,-0.23,0.0,-0.057,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.129,0.0,0.0,-0.0,-0.051,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.054,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.059,-0.0,-0.082,-0.018,-0.0,-0.0,-0.0,-0.001,0.051,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.06,-0.021,-0.0,0.0,-0.034,-0.007,-0.042,0.0,0.0,0.0,0.0,-0.052,-0.0,-0.0,-0.0,0.0,-0.0,0.001,-0.0,-0.0,0.0,0.0,-0.0,-0.016,0.0,0.016,-0.039,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.045,0.077,0.0,0.0,0.0,-0.016,-0.0,-0.0,0.106,0.0,0.0,-0.0,0.074,-0.0,-0.023,0.0,0.184,-0.015,0.0,-0.0,-0.086,-0.0,-0.0,0.0,0.0,-0.044,-0.01,0.0,-0.036,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.028,-0.0,-0.0,0.0,0.0,0.079,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.087,-0.0,0.0,-0.0,0.022,0.006,0.007,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.005,0.0,-0.038,0.035,-0.0,-0.007,0.065,0.0,-0.0,-0.0,-0.0,0.03,-0.024,0.008,-0.0,0.0,-0.036,0.0,-0.0,-0.0,0.0,0.005,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.026,-0.0,0.0,0.0,-0.041,0.0,-0.023,-0.0,-0.0,-0.0,-0.0,-0.047,-0.0,-0.012,-0.0,-0.067,-0.006,0.028,0.0,-0.0,0.009,-0.0,-0.0,-0.0,0.038,0.0,0.0,-0.0,-0.0,0.0,-0.021,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.034,0.142,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,200.455
2018-08-27,-0.0,-0.0,-0.073,-0.0,-0.052,-0.075,-0.0,-0.061,-0.019,-0.048,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.078,-0.0,-0.0,-0.167,-0.019,-0.108,0.053,-0.0,0.0,-0.044,0.0,-0.0,-0.041,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.015,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.092,-0.0,-0.0,-0.006,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.035,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.163,0.0,-0.064,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.074,-0.133,-0.0,-0.068,-0.062,-0.0,-0.073,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.071,-0.0,-0.0,-0.0,-0.0,-0.0,0.012,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.15,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.015,-0.0,-0.056,-0.0,-0.0,0.0,-0.017,-0.031,-0.0,-0.0,-0.0,-0.057,0.0,-0.0,-0.0,-0.0,-0.087,-0.0,0.03,-0.0,-0.0,-0.0,0.0,-0.0,-0.139,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12,-0.0,0.016,0.023,-0.012,-0.065,-0.0,-0.0,0.0,-0.0,-0.004,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.106,-0.097,-0.062,-0.082,-0.03,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.028,0.0,-0.0,-0.0,-0.058,-0.039,0.0,-0.048,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.038,-0.0,-0.035,-0.0,-0.0,0.004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.031,-0.0,-0.0,-0.035,-0.0,-0.0,0.0,-0.049,-0.0,-0.082,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.019,-0.029,-0.0,0.0,-0.023,0.0,-0.025,-0.0,0.188,-0.0,-0.0,-0.0,-0.0,0.0,-0.023,-0.0,0.0,-0.0,-0.059,-0.0,-0.0,-0.06,-0.0,-0.0,-0.0,-0.0,-0.091,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.026,-0.0,-0.042,-0.008,0.0,0.0,-0.0,-0.0,-0.099,-0.0,0.0,-0.016,-0.108,-0.0,-0.114,-0.186,-0.042,-0.174,-0.0,196.516
2018-08-28,-0.037,-0.0,-0.079,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02,-0.0,0.0,-0.0,0.0,-0.035,-0.0,-0.0,-0.129,-0.0,-0.0,-0.0,-0.0,-0.182,-0.0,-0.108,0.0,-0.052,0.0,-0.107,0.0,-0.122,-0.022,0.0,-0.0,-0.022,-0.185,-0.0,-0.0,-0.0,-0.0,-0.126,-0.0,-0.0,-0.0,-0.108,-0.015,-0.0,-0.0,-0.015,-0.0,-0.0,-0.0,-0.137,0.0,-0.0,-0.0,-0.0,-0.0,-0.055,-0.0,-0.086,-0.0,-0.048,-0.0,0.0,-0.0,-0.0,-0.0,-0.165,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.127,-0.0,-0.0,-0.107,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.068,0.0,0.0,0.0,-0.0,-0.062,-0.064,-0.0,-0.0,-0.0,-0.138,-0.0,0.0,-0.087,-0.0,-0.0,-0.0,-0.1,-0.248,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.023,-0.045,-0.0,-0.0,-0.013,-0.12,-0.0,0.044,-0.0,-0.0,-0.01,-0.0,-0.0,-0.065,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.111,-0.0,-0.0,-0.0,-0.0,-0.05,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.179,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.102,-0.051,-0.081,-0.042,0.0,-0.0,-0.019,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.061,-0.033,0.0,-0.037,0.0,-0.0,-0.07,-0.173,-0.0,-0.135,-0.0,-0.146,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.009,-0.0,-0.0,-0.0,-0.0,-0.0,-0.018,-0.068,0.0,-0.081,-0.0,-0.018,-0.041,-0.008,0.0,-0.0,-0.026,-0.079,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.036,-0.0,0.0,-0.019,0.0,-0.027,-0.0,0.179,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.065,0.0,-0.0,-0.056,-0.0,-0.076,-0.056,-0.0,0.0,-0.037,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.075,-0.0,-0.0,-0.0,-0.0,-0.029,-0.0,-0.0,-0.0,-0.0,-0.0,-0.014,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.024,-0.0,-0.0,191.501
